,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid
0,ztf,59498.374050899874,1744374054515015022,2,1744374054515,20.431175,1,1744,1.5682273,19.449291,19.3702,0.12373906,0.1507,40.5150904,12.9084141,0.81857145,t17_f5_c3,0.99930525,19.4353,0.2054,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
1,ztf,59498.41500000004,1744415004515015019,1,1744415004515,20.621464,1,1744,1.0698525,19.483608,19.5586,0.12273134,0.1518,40.5151478,12.9084073,0.89857143,t17_f5_c3,0.9999963,19.6548,0.212,505120145.0,True,True,False,correction_1.0.6,0.0,19.32543,0.10520501,0.10609235,
2,ztf,59503.3531944002,1749353194515015015,1,1749353194515,19.83504,1,1749,1.1981858,19.087929,19.2062,0.12634863,0.1869,40.5151108,12.9084111,0.8442857,t17_f5_c3,0.9999845,19.2253,0.2439,505120145.0,True,True,False,correction_1.0.6,0.0,18.975662,0.113504,0.11393682,
3,ztf,59503.39550929982,1749395504515015022,2,1749395504515,19.920712,1,1749,1.3102946,19.174501,18.93,0.11294101,0.1403,40.5151047,12.9083402,0.69857144,t17_f5_c3,0.99999595,18.921,0.1784,505120245.0,True,True,True,correction_1.0.6,0.0,18.981176,0.09155494,0.09451963,
4,ztf,59505.22315970017,1751223154515015016,1,1751223154515,19.294855,1,1751,1.4643469,19.262281,19.1446,0.21141708,0.316,40.5150342,12.9083942,0.8214286,t17_f5_c3,0.99995315,19.0714,0.3797,505120145.0,True,False,True,correction_1.0.6,0.0,,,,
5,ztf,59517.2666782001,1763266674515015026,1,1763266674515,20.73897,1,1763,1.1995656,19.7722,19.7596,0.14813703,0.1694,40.515111,12.9083902,0.88,t17_f5_c3,0.99996936,19.9728,0.2634,505120145.0,True,True,False,correction_1.0.6,0.0,19.570103,0.12177511,0.122977376,
6,ztf,59517.33861109987,1763338614515015029,2,1763338614515,20.604914,1,1763,1.4813048,19.455608,19.4932,0.096557155,0.1547,40.5151196,12.9083985,0.9,t17_f5_c3,0.99998116,19.5133,0.2022,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
7,ztf,59521.28287040023,1767282874515015029,2,1767282874515,20.529995,1,1767,1.5361935,19.728924,20.0107,0.129267,0.2587,40.5151088,12.9084132,0.80142856,t17_f5_c3,0.9999943,20.085,0.3556,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
8,ztf,59521.30381939979,1767303814515015016,1,1767303814515,20.785204,1,1767,1.2910829,20.211935,20.4516,0.15629275,0.3038,40.515086,12.9083747,0.88,t17_f5_c3,0.9995973,20.4157,0.3769,505120145.0,True,True,False,correction_1.0.6,0.0,19.921461,0.117231525,0.11960488,
9,ztf,59523.27460649982,1769274604515015036,2,1769274604515,20.508665,1,1769,1.527516,19.707966,19.6734,0.1505828,0.1923,40.5150829,12.9083971,0.81714284,t17_f5_c3,0.9968542,19.6161,0.234,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
10,ztf,59523.318113400135,1769318114515015030,1,1769318114515,20.736849,1,1769,1.3608325,20.279963,20.4078,0.18894355,0.2973,40.5150639,12.9084027,0.80714285,t17_f5_c3,0.99993,20.697,0.4967,505120145.0,True,True,False,correction_1.0.6,0.0,19.973131,0.14024238,0.14242946,
11,ztf,59525.296724500135,1771296724515015034,2,1771296724515,20.608868,1,1771,1.4506708,19.821775,19.7728,0.13434322,0.2082,40.5151199,12.9083896,0.7757143,t17_f5_c3,0.9997158,19.7199,0.2542,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
12,ztf,59527.28849539999,1773288494515015017,2,1773288494515,19.6567,1,1773,1.54592,19.641,19.3729,0.222436,0.3035,40.5150318,12.9083757,0.587143,t17_f5_c3,,19.2429,0.3463,,False,False,False,correction_1.0.6,0.0,,,,1.776340854515015e+18
13,ztf,59527.2995023001,1773299504515015028,1,1773299504515,20.3063,1,1773,1.29128,20.5034,20.6071,0.302612,0.5409,40.5150873,12.9084576,0.512857,t17_f5_c3,,20.4021,0.5754,,False,True,False,correction_1.0.6,0.0,20.137152,0.2140215,0.21596645,1.776340854515015e+18
14,ztf,59530.34085649997,1776340854515015030,2,1776340854515,20.314478,1,1776,1.5092534,19.884907,19.6196,0.1498571,0.1882,40.515062,12.9083812,0.4642857,t17_f5_c3,0.99987245,19.5753,0.2322,505120245.0,True,False,False,correction_1.0.6,0.0,,,,
